function,dimension,run_id,seed,n_particles,best_fitness,converged,iterations,convergence_iteration,evaluations,runtime
Sphere,2,0,285,30,5.284778786615622e-07,True,25,25.0,780,0.030187368392944336
Sphere,2,1,1285,30,9.331720346445531e-07,True,42,42.0,1290,0.0494382381439209
Sphere,2,2,2285,30,4.4850202989834443e-07,True,30,30.0,930,0.042357683181762695
Sphere,2,3,3285,30,5.311310872534694e-07,True,35,35.0,1080,0.03351116180419922
Sphere,2,4,4285,30,1.1978675134404788e-07,True,45,45.0,1380,0.040126800537109375
Sphere,2,5,5285,30,3.5912057201893824e-07,True,41,41.0,1260,0.0536196231842041
Sphere,2,6,6285,30,5.889376144847855e-07,True,40,40.0,1230,0.04249763488769531
Sphere,2,7,7285,30,6.111498743195053e-08,True,37,37.0,1140,0.03486490249633789
Sphere,2,8,8285,30,4.254968071774186e-07,True,20,20.0,630,0.02571892738342285
Sphere,2,9,9285,30,4.7449094109501373e-07,True,36,36.0,1110,0.03269815444946289
Sphere,2,10,10285,30,7.391749208326331e-07,True,35,35.0,1080,0.03342175483703613
Sphere,2,11,11285,30,1.9244384338616085e-07,True,41,41.0,1260,0.03435778617858887
Sphere,2,12,12285,30,4.083773466766572e-07,True,38,38.0,1170,0.04112076759338379
Sphere,2,13,13285,30,2.568047683256473e-07,True,46,46.0,1410,0.058992624282836914
Sphere,2,14,14285,30,3.5004998978064563e-07,True,32,32.0,990,0.04335284233093262
Sphere,2,15,15285,30,1.7053950407391205e-08,True,36,36.0,1110,0.03787088394165039
Sphere,2,16,16285,30,2.546712793036787e-07,True,24,24.0,750,0.02368021011352539
Sphere,2,17,17285,30,8.630841069002034e-07,True,26,26.0,810,0.02497267723083496
Sphere,2,18,18285,30,5.52994413592212e-07,True,30,30.0,930,0.020561933517456055
Sphere,2,19,19285,30,8.574183247779683e-07,True,34,34.0,1050,0.0386357307434082
Sphere,2,20,20285,30,8.463040747215602e-08,True,34,34.0,1050,0.03272557258605957
Sphere,2,21,21285,30,2.008679906812204e-07,True,37,37.0,1140,0.05638694763183594
Sphere,2,22,22285,30,5.477506811478778e-07,True,40,40.0,1230,0.027064800262451172
Sphere,2,23,23285,30,4.2938669504184744e-07,True,47,47.0,1440,0.052515268325805664
Sphere,2,24,24285,30,5.258634754695568e-07,True,41,41.0,1260,0.055613040924072266
Sphere,2,25,25285,30,6.332882933769474e-07,True,39,39.0,1200,0.03773164749145508
Sphere,2,26,26285,30,9.299498604637904e-07,True,48,48.0,1470,0.05913901329040527
Sphere,2,27,27285,30,4.6508059491557445e-07,True,44,44.0,1350,0.05713295936584473
Sphere,2,28,28285,30,9.817607860700768e-08,True,36,36.0,1110,0.04877114295959473
Sphere,2,29,29285,30,8.024509572977327e-07,True,35,35.0,1080,0.030683040618896484
Sphere,10,0,1085,30,6.188319976745794e-07,True,104,104.0,3150,0.12859439849853516
Sphere,10,1,2085,30,7.554087068069191e-07,True,100,100.0,3030,0.12723469734191895
Sphere,10,2,3085,30,5.283613886082944e-07,True,120,120.0,3630,0.11626529693603516
Sphere,10,3,4085,30,6.957186228551963e-07,True,115,115.0,3480,0.10268926620483398
Sphere,10,4,5085,30,8.154125445336233e-07,True,125,125.0,3780,0.145615816116333
Sphere,10,5,6085,30,8.248607706162861e-07,True,111,111.0,3360,0.12895750999450684
Sphere,10,6,7085,30,6.614111436234888e-07,True,109,109.0,3300,0.13351130485534668
Sphere,10,7,8085,30,7.789202552939396e-07,True,134,134.0,4050,0.15205740928649902
Sphere,10,8,9085,30,5.933475681888517e-07,True,113,113.0,3420,0.12426924705505371
Sphere,10,9,10085,30,9.269098254374157e-07,True,115,115.0,3480,0.1253349781036377
Sphere,10,10,11085,30,7.86775713855118e-07,True,119,119.0,3600,0.14597749710083008
Sphere,10,11,12085,30,9.872951684301063e-07,True,108,108.0,3270,0.13180947303771973
Sphere,10,12,13085,30,9.496488516952576e-07,True,122,122.0,3690,0.12467336654663086
Sphere,10,13,14085,30,7.791913476298857e-07,True,106,106.0,3210,0.1385798454284668
Sphere,10,14,15085,30,5.199590410584265e-07,True,112,112.0,3390,0.14345860481262207
Sphere,10,15,16085,30,9.471046201695914e-07,True,109,109.0,3300,0.10292291641235352
Sphere,10,16,17085,30,9.483606002844276e-07,True,108,108.0,3270,0.10393333435058594
Sphere,10,17,18085,30,7.750770912913399e-07,True,109,109.0,3300,0.12285351753234863
Sphere,10,18,19085,30,5.714226652295225e-07,True,110,110.0,3330,0.11177659034729004
Sphere,10,19,20085,30,6.014768442996618e-07,True,125,125.0,3780,0.18519091606140137
Sphere,10,20,21085,30,8.261426852516084e-07,True,114,114.0,3450,0.12283825874328613
Sphere,10,21,22085,30,7.111716423723286e-07,True,120,120.0,3630,0.10719609260559082
Sphere,10,22,23085,30,9.179449241529416e-07,True,109,109.0,3300,0.10088467597961426
Sphere,10,23,24085,30,7.807495998884614e-07,True,101,101.0,3060,0.08874177932739258
Sphere,10,24,25085,30,6.110427159574286e-07,True,111,111.0,3360,0.09114217758178711
Sphere,10,25,26085,30,9.681626875533958e-07,True,124,124.0,3750,0.13199162483215332
Sphere,10,26,27085,30,7.478870906133075e-07,True,115,115.0,3480,0.1429131031036377
Sphere,10,27,28085,30,7.068327392758453e-07,True,112,112.0,3390,0.09679245948791504
Sphere,10,28,29085,30,8.986353688237169e-07,True,109,109.0,3300,0.13844895362854004
Sphere,10,29,30085,30,8.005794554638689e-07,True,116,116.0,3510,0.14300966262817383
Sphere,30,0,3085,50,9.764166048369403e-07,True,265,265.0,13300,0.4781911373138428
Sphere,30,1,4085,50,1.0765946457168962e-06,False,300,,15050,0.5622951984405518
Sphere,30,2,5085,50,8.974173146594991e-07,True,287,287.0,14400,0.5299587249755859
Sphere,30,3,6085,50,8.589156725207452e-07,True,271,271.0,13600,0.5203163623809814
Sphere,30,4,7085,50,8.420508603018194e-07,True,271,271.0,13600,0.5329079627990723
Sphere,30,5,8085,50,4.8167373270687625e-06,False,300,,15050,0.6128249168395996
Sphere,30,6,9085,50,9.279463243305152e-07,True,256,256.0,12850,0.4840106964111328
Sphere,30,7,10085,50,8.925460303059377e-07,True,257,257.0,12900,0.4287428855895996
Sphere,30,8,11085,50,1.3676685481592146e-06,False,300,,15050,0.4502286911010742
Sphere,30,9,12085,50,9.755445646377558e-07,True,297,297.0,14900,0.4569859504699707
Sphere,30,10,13085,50,9.423959202458084e-07,True,284,284.0,14250,0.4609055519104004
Sphere,30,11,14085,50,2.5784512277533775e-06,False,300,,15050,0.42906999588012695
Sphere,30,12,15085,50,9.940882061008936e-07,True,240,240.0,12050,0.3510019779205322
Sphere,30,13,16085,50,8.441541355708697e-07,True,293,293.0,14700,0.4646482467651367
Sphere,30,14,17085,50,9.25949621534633e-07,True,275,275.0,13800,0.42685389518737793
Sphere,30,15,18085,50,9.628658872398767e-07,True,254,254.0,12750,0.46132707595825195
Sphere,30,16,19085,50,9.713044168757023e-07,True,292,292.0,14650,0.5212781429290771
Sphere,30,17,20085,50,8.814545718652352e-07,True,273,273.0,13700,0.4105548858642578
Sphere,30,18,21085,50,9.847669093290685e-07,True,283,283.0,14200,0.44316959381103516
Sphere,30,19,22085,50,9.321826510354533e-07,True,254,254.0,12750,0.40474772453308105
Sphere,30,20,23085,50,9.821058661812758e-07,True,254,254.0,12750,0.3673818111419678
Sphere,30,21,24085,50,8.875061831676376e-07,True,280,280.0,14050,0.44330859184265137
Sphere,30,22,25085,50,9.867665253128466e-07,True,285,285.0,14300,0.39915013313293457
Sphere,30,23,26085,50,9.979236463062016e-07,True,273,273.0,13700,0.4363124370574951
Sphere,30,24,27085,50,9.590548027192064e-07,True,291,291.0,14600,0.4382169246673584
Sphere,30,25,28085,50,8.669969112772744e-07,True,277,277.0,13900,0.3978004455566406
