config,function,mean_best,median_best,success_rate,avg_iterations
Acceleration Boost (c₁=c₂=2.0),Ackley,0.3094134132864036,0.22239647346538627,0.0,300.0
Acceleration Boost (c₁=c₂=2.0),Rastrigin,15.305911443026769,16.632150454417186,0.0,300.0
Acceleration Boost (c₁=c₂=2.0),Rosenbrock,7.3793691976728315,7.151014606042219,0.0,300.0
Acceleration Boost (c₁=c₂=2.0),Sphere,0.00027120465473941957,0.00020211452595294893,0.0,300.0
"Baseline (ω=0.7, c₁=1.5, c₂=1.5)",Ackley,8.728577454508723e-06,8.979367546846362e-06,100.0,217.1
"Baseline (ω=0.7, c₁=1.5, c₂=1.5)",Rastrigin,8.260155690647348,6.467232526322462,0.0,300.0
"Baseline (ω=0.7, c₁=1.5, c₂=1.5)",Rosenbrock,3.991421218823524,3.6092490035968954,0.0,300.0
"Baseline (ω=0.7, c₁=1.5, c₂=1.5)",Sphere,7.892133999138354e-07,7.838631573946391e-07,100.0,119.5
Higher Inertia (ω=0.9),Ackley,6.6322864403783415,6.905618363348313,0.0,300.0
Higher Inertia (ω=0.9),Rastrigin,38.90520664990194,37.60417715887483,0.0,300.0
Higher Inertia (ω=0.9),Rosenbrock,27.097078952418435,20.362698110393865,0.0,300.0
Higher Inertia (ω=0.9),Sphere,0.6311760010243804,0.5663024653317044,0.0,300.0
Lower Inertia (ω=0.5),Ackley,0.5124484264864748,0.006388224950562904,50.0,206.9
Lower Inertia (ω=0.5),Rastrigin,14.924371137572848,14.426893888142097,0.0,300.0
Lower Inertia (ω=0.5),Rosenbrock,7.204578068028242,7.637356386957157,0.0,300.0
Lower Inertia (ω=0.5),Sphere,8.677030613087476e-07,9.206201931220788e-07,100.0,61.1
